plastic_strain,subcycling_stress,trapezoid_stress,relative_difference_percent
8.382992999999999716e-05,7.984362372953291237e+07,7.711522000000000000e+07,3.538087201894661415e+00
8.506991000000000422e-05,8.040117000000000000e+07,7.772276936402893066e+07,3.446095214937962226e+00
8.543015999999999794e-05,8.054941705341768265e+07,7.789928000000000000e+07,3.402004554365178013e+00
8.693078999999999715e-05,8.116694370371660590e+07,7.863877000000000000e+07,3.214920202486135192e+00
8.765426000000000261e-05,8.146466000000000000e+07,7.899158450931051373e+07,3.130808814701004028e+00
8.873896000000000258e-05,8.189805681785048544e+07,7.952056000000000000e+07,2.989788826751830442e+00
9.012365999999999628e-05,8.245132000000000000e+07,8.016044738705462217e+07,2.857859065935476117e+00
9.055289000000000437e-05,8.259255228041797876e+07,8.035880000000000000e+07,2.779723291559827558e+00
9.230328000000000642e-05,8.316849424934096634e+07,8.111601000000000000e+07,2.530307209810943814e+00
9.274488999999999964e-05,8.331380000000000000e+07,8.130444147317105532e+07,2.471400689090269776e+00
9.439970999999999746e-05,8.378743313712392747e+07,8.201054000000000000e+07,2.166664354513367918e+00
9.642768999999999765e-05,8.436787000000000000e+07,8.280478075474430621e+07,1.887679951578322912e+00
9.660867000000000011e-05,8.441505050803694129e+07,8.287566000000000000e+07,1.857469983390710011e+00
9.917950000000000138e-05,8.508525199702249467e+07,8.377134000000000000e+07,1.568450495148453916e+00
1.002966999999999981e-04,8.537650000000000000e+07,8.411622015091463923e+07,1.498260200974635747e+00
1.018034999999999952e-04,8.576342556525969505e+07,8.458137000000000000e+07,1.397536555933883484e+00
1.044072000000000056e-04,8.643202000000000000e+07,8.498027972844578326e+07,1.708326068345795257e+00
1.064766000000000031e-04,8.698871180428133905e+07,8.529733000000000000e+07,1.982924675697749217e+00
1.074482999999999992e-04,8.725011000000000000e+07,8.545279922846548259e+07,2.103278988824287321e+00
1.099826000000000064e-04,8.790099111586372554e+07,8.585828000000000000e+07,2.379166128023675331e+00
1.114460999999999967e-04,8.827686000000000000e+07,8.611519814730447531e+07,2.510197850323575786e+00
1.127483000000000060e-04,8.862473897446532547e+07,8.634380000000000000e+07,2.641693988989742614e+00
1.150647000000000030e-04,8.924355855398574471e+07,8.676698000000000000e+07,2.854286911894069245e+00
1.153036000000000051e-04,8.930738000000000000e+07,8.681319673448546231e+07,2.873046218010947062e+00
1.163377000000000025e-04,8.948794250164453685e+07,8.701325000000000000e+07,2.844040995646682113e+00
1.194080999999999994e-04,9.002406000000000000e+07,8.762318158787488937e+07,2.740003693791163819e+00
1.200754000000000057e-04,9.013841185969334841e+07,8.775574000000000000e+07,2.715117962304629096e+00
1.232953000000000120e-04,9.069019000000000000e+07,8.836262702650859952e+07,2.634103412060323279e+00
1.238288999999999894e-04,9.076836032258063555e+07,8.846320000000000000e+07,2.605784464704685721e+00
1.258815000000000042e-04,9.106905823136818409e+07,8.891442000000000000e+07,2.423271985993030508e+00
1.278801999999999890e-04,9.136186000000000000e+07,8.927366532191069424e+07,2.339093696399170863e+00
1.303113000000000004e-04,9.179868056131844223e+07,8.971063000000000000e+07,2.327539736727344710e+00
1.311386000000000051e-04,9.194733000000000000e+07,8.987165527490901947e+07,2.309598859330769915e+00
1.341702000000000118e-04,9.249594000000000000e+07,9.046172444378873706e+07,2.248703049514921837e+00
1.343781000000000001e-04,9.252381210974729061e+07,9.050219000000000000e+07,2.233782530287157453e+00
1.372270999999999994e-04,9.290576324332129955e+07,9.085439000000000000e+07,2.257869150099736100e+00
1.376326999999999943e-04,9.296014000000000000e+07,9.090706132113713026e+07,2.258436967410254681e+00
1.409768999999999953e-04,9.328866739070431888e+07,9.134134000000000000e+07,2.131923388363165195e+00
1.416904999999999879e-04,9.335877000000000000e+07,9.141808921870625019e+07,2.122862989020603663e+00
1.448617000000000025e-04,9.394903000000000000e+07,9.175915861663399637e+07,2.386542571205558350e+00
1.466905000000000010e-04,9.430021677617317438e+07,9.195585000000000000e+07,2.549448214739110430e+00
1.481370000000000083e-04,9.457799000000000000e+07,9.222322595526921749e+07,2.553330812644644787e+00
1.516656999999999869e-04,9.518611000000000000e+07,9.287548280515410006e+07,2.487876374966927706e+00
1.518591999999999978e-04,9.521281244856636226e+07,9.291125000000000000e+07,2.477162290429159253e+00
1.554407999999999907e-04,9.570706304177187383e+07,9.366043000000000000e+07,2.185162978401737011e+00
1.556659999999999966e-04,9.573814000000000000e+07,9.369997357671728730e+07,2.175204907196643500e+00
1.609916999999999989e-04,9.584672982861620188e+07,9.463513000000000000e+07,1.280285480261084574e+00
1.617926000000000000e-04,9.586306000000000000e+07,9.470665880961892009e+07,1.221034724396411253e+00
1.653678000000000060e-04,9.655286000000000000e+07,9.502596184389230609e+07,1.606822100486672289e+00
1.672501999999999865e-04,9.711874082881104946e+07,9.519408000000000000e+07,2.021828278408751345e+00
1.682056000000000078e-04,9.740595000000000000e+07,9.528872824733707309e+07,2.221901573885360914e+00
1.710071999999999981e-04,9.826190000000000000e+07,9.556627328579166532e+07,2.820688326044736183e+00
1.727892000000000024e-04,9.876201540556699038e+07,9.574281000000000000e+07,3.153453930970889552e+00
1.740177999999999994e-04,9.910682000000000000e+07,9.586200623580372334e+07,3.384879882666552930e+00
1.771106000000000047e-04,9.991601000000000000e+07,9.616206330734348297e+07,3.903770950357555947e+00
1.801767000000000125e-04,1.005312655497222245e+08,9.645953000000000000e+07,4.221185350708451800e+00
1.807106000000000109e-04,1.006384000000000000e+08,9.650109220195427537e+07,4.287317069310785378e+00
1.843592000000000017e-04,1.014351000000000000e+08,9.678512263845989108e+07,4.804434023305487855e+00
1.853244000000000039e-04,1.015794048817472011e+08,9.686026000000000000e+07,4.872116677930868001e+00
1.887776999999999934e-04,1.020957000000000000e+08,9.712848121599587798e+07,5.114070272506311632e+00
1.911508999999999930e-04,1.025094935961520374e+08,9.731281000000000000e+07,5.340184500018072988e+00
1.930188999999999961e-04,1.028352000000000000e+08,9.745792855877703428e+07,5.517531021583250705e+00
1.957692000000000026e-04,1.033354141033822596e+08,9.767159000000000000e+07,5.798844990014250911e+00
1.975632000000000061e-04,1.036617000000000000e+08,9.781098928911091387e+07,5.981649662693303782e+00
1.978511000000000072e-04,1.037030509752120674e+08,9.783336000000000000e+07,5.999682496044362878e+00
2.024082999999999980e-04,1.043576000000000000e+08,9.818300499648985267e+07,6.288863336104752122e+00
