time,subcycling_plastic_strain,trapezoid_plastic_strain,relative_difference_percent
9.132869999999999855e-06,8.136152611697283223e-05,8.543015999999999794e-05,4.762526352551798681e+00
9.147327000000000181e-06,8.158748999999999700e-05,8.564606326632365739e-05,4.738773869504293579e+00
9.233353000000000160e-06,8.295833980858901007e-05,8.693078999999999715e-05,4.569669954007075319e+00
9.353622999999999265e-06,8.487487790729171804e-05,8.873896000000000258e-05,4.354436983156309893e+00
9.365862000000000622e-06,8.506991000000000422e-05,8.893022653516785276e-05,4.340837402051674232e+00
9.469694999999999803e-06,8.682666500530285747e-05,9.055289000000000437e-05,4.114970813959827112e+00
9.518609999999999655e-06,8.765426000000000261e-05,9.135146788809506233e-05,4.047234241078768946e+00
9.576910999999999828e-06,8.865985828312389978e-05,9.230328000000000642e-05,3.947228870822473645e+00
9.661776999999999974e-06,9.012365999999999628e-05,9.370218572864084602e-05,3.819041894075096089e+00
9.704092999999999993e-06,9.094732109499727927e-05,9.439970999999999746e-05,3.657202871706616953e+00
9.796444000000000289e-06,9.274488999999999964e-05,9.601056007983197014e-05,3.401365513456637402e+00
9.830734000000000260e-06,9.347111887014129643e-05,9.660867000000000011e-05,3.247691050770809440e+00
9.967509999999999711e-06,9.636790160395423618e-05,9.917950000000000138e-05,2.834858409294022330e+00
9.970333000000000345e-06,9.642768999999999765e-05,9.923659976104217783e-05,2.830517941773422752e+00
1.009723999999999991e-05,9.924200131428865341e-05,1.018034999999999952e-04,2.516120453335437546e+00
1.014479999999999984e-05,1.002966999999999981e-04,1.031765316673874053e-04,2.791169290969372607e+00
1.025911000000000044e-05,1.028716191966242972e-04,1.064766000000000031e-04,3.385702401631631719e+00
1.032728000000000050e-05,1.044072000000000056e-04,1.084107589382536326e-04,3.692953519985863409e+00
1.038268000000000001e-05,1.056235521767381322e-04,1.099826000000000064e-04,3.963397685872014353e+00
1.046578999999999996e-05,1.074482999999999992e-04,1.122463121036044987e-04,4.274538747585653553e+00
1.048422000000000005e-05,1.078632552489299369e-04,1.127483000000000060e-04,4.332699252290339587e+00
1.057078999999999980e-05,1.098123966433881357e-04,1.150647000000000030e-04,4.564652197078571838e+00
1.061971000000000001e-05,1.109138405271457416e-04,1.163377000000000025e-04,4.662168388110011108e+00
1.064335000000000034e-05,1.114460999999999967e-04,1.169442712088968359e-04,4.701531038724838574e+00
1.076538000000000059e-05,1.141335327757478894e-04,1.200754000000000057e-04,4.948446746171252464e+00
1.081851000000000054e-05,1.153036000000000051e-04,1.214759439637614984e-04,5.081124511041310576e+00
1.090777000000000043e-05,1.177426364822581730e-04,1.238288999999999894e-04,4.915059019131896356e+00
1.096872000000000024e-05,1.194080999999999994e-04,1.253173707911957140e-04,4.715444278703998293e+00
1.099182000000000007e-05,1.200388109643885564e-04,1.258815000000000042e-04,4.641419935106784855e+00
1.111109000000000037e-05,1.232953000000000120e-04,1.290888225641959508e-04,4.488012555320051611e+00
1.115655000000000078e-05,1.246366318360254933e-04,1.303113000000000004e-04,4.354701521644329887e+00
1.126647999999999991e-05,1.278801999999999890e-04,1.331666575014370496e-04,3.969805656029184782e+00
1.131311999999999986e-05,1.291392867937033806e-04,1.343781000000000001e-04,3.898561749493868245e+00
1.138718000000000030e-05,1.311386000000000051e-04,1.367095579005524924e-04,4.075031757914837627e+00
1.140362000000000009e-05,1.315809101171459101e-04,1.372270999999999994e-04,4.114486047474652963e+00
1.149986000000000038e-05,1.341702000000000118e-04,1.401987794466403301e-04,4.300022775116095985e+00
1.152505999999999973e-05,1.349403915438255523e-04,1.409768999999999953e-04,4.281913175970278651e+00
1.161315000000000078e-05,1.376326999999999943e-04,1.438885685410158904e-04,4.347717545909591585e+00
1.169791999999999997e-05,1.405237716591023760e-04,1.466905000000000010e-04,4.203904370697233439e+00
1.173212999999999943e-05,1.416904999999999879e-04,1.475997000565610815e-04,4.003531209275258185e+00
1.185165999999999928e-05,1.448617000000000025e-04,1.507764519642122388e-04,3.922861884040181657e+00
1.189239999999999984e-05,1.459174458817944506e-04,1.518591999999999978e-04,3.912673132879369131e+00
1.197804999999999961e-05,1.481370000000000083e-04,1.540060545034641765e-04,3.810924526562785797e+00
1.203529000000000077e-05,1.497116689639043079e-04,1.554407999999999907e-04,3.685731825939961404e+00
1.210631999999999931e-05,1.516656999999999869e-04,1.573729789032637027e-04,3.626593931841341600e+00
1.223870999999999924e-05,1.556659999999999966e-04,1.609742905321963986e-04,3.297601445949341237e+00
1.223934999999999997e-05,1.556952068826816056e-04,1.609916999999999989e-04,3.289916882248210772e+00
