time,subcycling_density,trapezoid_density,relative_difference_percent
5.806576999999999615e-04,1.981895000000000000e+13,1.981486614957423047e+13,2.061003286594132247e-02
5.848961999999999651e-04,1.982877532863770703e+13,1.981722000000000000e+13,5.830953401994341811e-02
5.866064999999999951e-04,1.983274000000000000e+13,1.982090844779711328e+13,5.969228016994181790e-02
5.925829000000000079e-04,1.984407000000000000e+13,1.983379720381340234e+13,5.179439963529791635e-02
5.946197999999999545e-04,1.984810550780137500e+13,1.983819000000000000e+13,4.998191771212494999e-02
5.989023000000000003e-04,1.985659000000000000e+13,1.984200820185874609e+13,7.348952783865859983e-02
6.017643999999999944e-04,1.986192282840882422e+13,1.984456000000000000e+13,8.749414655111636963e-02
6.053157999999999889e-04,1.986854000000000000e+13,1.985039372184651562e+13,9.141520519823916058e-02
6.119355999999999624e-04,1.988220000000000000e+13,1.986126776359894141e+13,1.053922471123544535e-01
6.119673999999999644e-04,1.988216048865515625e+13,1.986132000000000000e+13,1.049300280905612059e-01
6.186479000000000370e-04,1.987386000000000000e+13,1.985489637031973047e+13,9.551109875656406401e-02
6.208904999999999806e-04,1.987632349801133594e+13,1.985274000000000000e+13,1.187921567065097078e-01
6.255117999999999833e-04,1.988140000000000000e+13,1.986280379674816797e+13,9.362325400846230328e-02
6.290459000000000415e-04,1.988488058409723828e+13,1.987050000000000000e+13,7.237152611780418854e-02
6.324062000000000303e-04,1.988819000000000000e+13,1.987486329844774609e+13,6.705304762168975974e-02
6.393231999999999778e-04,1.989693000000000000e+13,1.988384491775645703e+13,6.580760560980773721e-02
6.398430999999999997e-04,1.989769901057756641e+13,1.988452000000000000e+13,6.627774056183607931e-02
6.463474999999999776e-04,1.990732000000000000e+13,1.988435423587710547e+13,1.154966555637882974e-01
6.469060999999999692e-04,1.990843108100317188e+13,1.988434000000000000e+13,1.211560504556443707e-01
6.532855000000000389e-04,1.992112000000000000e+13,1.990118343224480469e+13,1.001778000945068303e-01
6.548863000000000253e-04,1.992403331807259766e+13,1.990541000000000000e+13,9.355907802249567584e-02
6.603187999999999636e-04,1.993392000000000000e+13,1.991809950291981250e+13,7.942774398666076208e-02
6.612051999999999556e-04,1.993591509340209375e+13,1.992017000000000000e+13,7.904095899831051208e-02
6.640592000000000066e-04,1.994233882599411719e+13,1.992489000000000000e+13,8.757301041118514817e-02
6.677650999999999943e-04,1.995068000000000000e+13,1.992408789551096484e+13,1.334671109086330576e-01
6.724218000000000339e-04,1.995306726651330859e+13,1.992308000000000000e+13,1.505152140798942384e-01
6.753726000000000260e-04,1.995458000000000000e+13,1.992451774826349219e+13,1.508806994293644399e-01
6.802823999999999633e-04,1.995200196227680859e+13,1.992691000000000000e+13,1.259199859727804793e-01
6.831237999999999460e-04,1.995051000000000000e+13,1.992418048745633594e+13,1.321485345921270538e-01
6.878400000000000009e-04,1.995353331220116797e+13,1.991965000000000000e+13,1.700999375047652362e-01
6.915943000000000134e-04,1.995594000000000000e+13,1.992162275869887109e+13,1.722612746802673067e-01
6.953381000000000232e-04,1.995838359576478125e+13,1.992359000000000000e+13,1.746351725004441913e-01
6.997449999999999894e-04,1.996126000000000000e+13,1.992832012522361328e+13,1.652917785814478346e-01
7.016547999999999622e-04,1.996270071652260938e+13,1.993037000000000000e+13,1.622183457838935194e-01
