time,subcycling_density,trapezoid_density,relative_difference_percent
5.480814000000000072e-06,2.552225860660000229e+10,2.542894000000000000e+10,3.669779652632091382e-01
5.489800000000000361e-06,2.560126262000000381e+10,2.550820000000000000e+10,3.648341317694067665e-01
5.498785000000000412e-06,2.568025784150000381e+10,2.558095000000000000e+10,3.882101387947039517e-01
5.499999999999999857e-06,2.569094000000000000e+10,2.559174774624373627e+10,3.875946838012375162e-01
5.507769999999999615e-06,2.575818002599999619e+10,2.566080000000000000e+10,3.794894391445168824e-01
5.510016999999999595e-06,2.577762511459999847e+10,2.567994000000000000e+10,3.803946372148785393e-01
5.511139999999999889e-06,2.578734333200000000e+10,2.569264000000000000e+10,3.686010156994376508e-01
5.511174999999999797e-06,2.578764621500000000e+10,2.569211000000000000e+10,3.718504046573052890e-01
5.511192999999999870e-06,2.578780198340000153e+10,2.529742000000000000e+10,1.938466386690822496e+00
5.511194000000000109e-06,2.578781063720000076e+10,2.529502000000000000e+10,1.948172554123304590e+00
5.511195000000000349e-06,2.578781929100000381e+10,2.529502000000000000e+10,1.948206765600516643e+00
5.511195999999999741e-06,2.578782794479999924e+10,2.529502000000000000e+10,1.948240977077698277e+00
5.511196999999999980e-06,2.578783659860000229e+10,2.529502000000000000e+10,1.948275188554910331e+00
5.511198999999999612e-06,2.578785390619999695e+10,2.529503000000000000e+10,1.948303307803932238e+00
5.511199999999999851e-06,2.578786256000000000e+10,2.529503000000000000e+10,1.948337519267618889e+00
5.511202000000000330e-06,2.578787986760000610e+10,2.529504000000000000e+10,1.948365638480928030e+00
5.511205000000000201e-06,2.578790582900000381e+10,2.529504000000000000e+10,1.948468272831368697e+00
5.511206999999999833e-06,2.578792313659999847e+10,2.529505000000000000e+10,1.948496391981824338e+00
5.511210999999999943e-06,2.578795775179999924e+10,2.529505000000000000e+10,1.948633237728327305e+00
5.511215000000000054e-06,2.578799236700000000e+10,2.529506000000000000e+10,1.948729779648674443e+00
5.511220000000000403e-06,2.578803563600000381e+10,2.529507000000000000e+10,1.948860532902276343e+00
5.511226000000000146e-06,2.578808755880000305e+10,2.529508000000000000e+10,1.949025497448527489e+00
5.511233000000000127e-06,2.578814813540000153e+10,2.529510000000000000e+10,1.949184369304733044e+00
5.511241000000000348e-06,2.578821736580000305e+10,2.529512000000000000e+10,1.949377452251671583e+00
5.511251000000000200e-06,2.578830390380000305e+10,2.529514000000000000e+10,1.949638957523077920e+00
5.511262999999999685e-06,2.578840774939999771e+10,2.529516000000000000e+10,1.949968884956638782e+00
5.511277999999999887e-06,2.578853755640000153e+10,2.529519000000000000e+10,1.950361141386965480e+00
5.511295999999999960e-06,2.578869332479999924e+10,2.529523000000000000e+10,1.950815726127017813e+00
5.511316999999999905e-06,2.578887505460000229e+10,2.529527000000000000e+10,1.951372942846635983e+00
5.511341999999999959e-06,2.578909139960000229e+10,2.529533000000000000e+10,1.951986392745231225e+00
5.511372000000000364e-06,2.578935101360000610e+10,2.529539000000000000e+10,1.952770894617581021e+00
5.511407999999999664e-06,2.578966255039999771e+10,2.529547000000000000e+10,1.953680047850455903e+00
5.511452000000000031e-06,2.579004331760000229e+10,2.529556000000000000e+10,1.954822575977769539e+00
5.511503999999999773e-06,2.579049331520000076e+10,2.529567000000000000e+10,1.956158169362585575e+00
5.511566999999999606e-06,2.579103850459999847e+10,2.529581000000000000e+10,1.957749147388434974e+00
5.511641999999999770e-06,2.579168753959999847e+10,2.529597000000000000e+10,1.959670017002702158e+00
5.511733000000000376e-06,2.579247503540000534e+10,2.529617000000000000e+10,1.961976992564508082e+00
5.511840999999999969e-06,2.579340964579999924e+10,2.529641000000000000e+10,1.964704263569412523e+00
5.511971999999999986e-06,2.579454329360000229e+10,2.529669000000000000e+10,1.968057060429654115e+00
5.512128000000000057e-06,2.579589328640000153e+10,2.529705000000000000e+10,1.971942524523616402e+00
5.512314999999999925e-06,2.579751154700000000e+10,2.529748000000000000e+10,1.976606156028189565e+00
5.512540000000000418e-06,2.579945865200000381e+10,2.529800000000000000e+10,1.982206704087294602e+00
5.512809999999999824e-06,2.580179517800000000e+10,2.529864000000000000e+10,1.988862555457526327e+00
5.513134000000000297e-06,2.580459900920000458e+10,2.529944000000000000e+10,1.996720121868328368e+00
5.513523000000000236e-06,2.580796533740000153e+10,2.530041000000000000e+10,2.006115068490990971e+00
5.513988999999999970e-06,2.581199800820000076e+10,2.530163000000000000e+10,2.017134896842617486e+00
5.514549000000000181e-06,2.581684413620000458e+10,2.530314000000000000e+10,2.030199161843172728e+00
5.515221000000000096e-06,2.582265948980000305e+10,2.530504000000000000e+10,2.045519350295447403e+00
5.516026999999999899e-06,2.582963445260000229e+10,2.530743000000000000e+10,2.063443236235375622e+00
5.516994000000000122e-06,2.583800267720000076e+10,2.531046000000000000e+10,2.084287196676791964e+00
5.518155000000000194e-06,2.584804973900000381e+10,2.531434000000000000e+10,2.108329662159881934e+00
5.519547999999999894e-06,2.586010448240000153e+10,2.531932000000000000e+10,2.135857054612847250e+00
5.521219000000000068e-06,2.587456498220000076e+10,2.532578000000000000e+10,2.166902587797891133e+00
5.523224999999999961e-06,2.589192450500000000e+10,2.533470000000000000e+10,2.199451759839271769e+00
5.524228000000000330e-06,2.590060426640000534e+10,2.533937000000000000e+10,2.214870639641022265e+00
5.525230999999999853e-06,2.590928402779999924e+10,2.507791000000000000e+10,3.315164731829722822e+00
5.526232999999999983e-06,2.591795513540000153e+10,2.508260000000000000e+10,3.330416844346285821e+00
5.527437000000000184e-06,2.592837431060000229e+10,2.508901000000000000e+10,3.345545761271577323e+00
5.528640000000000145e-06,2.593878483200000381e+10,2.494734000000000000e+10,3.974150478568071243e+00
5.529844000000000346e-06,2.594920400720000458e+10,2.488529000000000000e+10,4.275272690010863741e+00
5.531047000000000307e-06,2.595961452860000610e+10,2.488805000000000000e+10,4.305538314974480585e+00
