time,subcycling_plastic_strain,trapezoid_plastic_strain,relative_difference_percent
5.103429000000000296e-06,2.542539735929999871e-06,2.642815000000000124e-06,3.794259684086863871e+00
5.121399000000000396e-06,2.566928080830000114e-06,2.667423000000000075e-06,3.767490914264440161e+00
5.139369999999999889e-06,2.591317782899999605e-06,2.692189000000000153e-06,3.746810387383669116e+00
5.157341000000000230e-06,2.615707484969999943e-06,2.717112000000000117e-06,3.732069750161207011e+00
5.175311999999999723e-06,2.640097187039999433e-06,2.742221000000000134e-06,3.724127740251449215e+00
5.193281999999999823e-06,2.664485531939999677e-06,2.767494999999999835e-06,3.722119391724290516e+00
5.200000000000000188e-06,2.673602999999999989e-06,2.776799491681041796e-06,3.716382547252911728e+00
5.211253000000000163e-06,2.689426068360000166e-06,2.792384999999999947e-06,3.687132384681903741e+00
5.229223999999999656e-06,2.714695450879999299e-06,2.817981000000000066e-06,3.665232275164408637e+00
5.247194999999999996e-06,2.739964833399999703e-06,2.843745000000000163e-06,3.649418868428795815e+00
5.265165000000000097e-06,2.765232809799999873e-06,2.869680000000000111e-06,3.639680737922005971e+00
5.283135999999999590e-06,2.790502192319999006e-06,2.895787999999999963e-06,3.635825815978274811e+00
5.300000000000000078e-06,2.814214999999999872e-06,2.920451048689555671e-06,3.637658940978493405e+00
5.301106999999999930e-06,2.815823382439999851e-06,2.922069999999999960e-06,3.636005214111917461e+00
5.319078000000000270e-06,2.841933807760000078e-06,2.948549999999999916e-06,3.615885511183457801e+00
5.337048000000000371e-06,2.868042780160000366e-06,2.975201999999999962e-06,3.601746027328551314e+00
5.355018999999999864e-06,2.894153205479999745e-06,3.002028999999999968e-06,3.593429461207744424e+00
5.372990000000000204e-06,2.920263630800000395e-06,3.029032999999999989e-06,3.590894163252747351e+00
5.390960999999999697e-06,2.946374056119999774e-06,3.056216000000000081e-06,3.594050416593601138e+00
5.399999999999999967e-06,2.959507000000000191e-06,3.069980229048414288e-06,3.598499690750676105e+00
5.408930999999999798e-06,2.973015226809999948e-06,3.083579999999999875e-06,3.585597688076843426e+00
5.426902000000000138e-06,3.000196544020000402e-06,3.111132000000000201e-06,3.565758572121008996e+00
5.444872999999999631e-06,3.027377861229999585e-06,3.138992999999999950e-06,3.555762589148824482e+00
5.462843999999999971e-06,3.054559178440000039e-06,3.167073999999999842e-06,3.552642646177507135e+00
5.471829000000000021e-06,3.068149080790000160e-06,3.195422999999999933e-06,3.983006919897608800e+00
5.480814000000000072e-06,3.081738983140000282e-06,3.209720000000000077e-06,3.987295367197132290e+00
5.489800000000000361e-06,3.095330398000000614e-06,3.224158999999999906e-06,3.995727319899523788e+00
5.498785000000000412e-06,3.108920300350000735e-06,3.238299000000000164e-06,3.995267257594169674e+00
5.499999999999999857e-06,3.110758000000000041e-06,3.240233263772954386e-06,3.995862434366601157e+00
5.507769999999999615e-06,3.123015641199999605e-06,3.252602999999999866e-06,3.984112380146002330e+00
5.510016999999999595e-06,3.126560418519999502e-06,3.267244000000000189e-06,4.305879251136452979e+00
5.511139999999999889e-06,3.128332018399999950e-06,3.270795999999999982e-06,4.355636413888241520e+00
5.511174999999999797e-06,3.128387233000000150e-06,3.272575999999999988e-06,4.405971534350916485e+00
5.511192999999999870e-06,3.128415629079999963e-06,3.272456000000000064e-06,4.401598399489560443e+00
5.511194000000000109e-06,3.128417206640000658e-06,3.272456999999999880e-06,4.401579405321421667e+00
5.511195000000000349e-06,3.128418784200000930e-06,3.272458000000000119e-06,4.401560411164916253e+00
5.511195999999999741e-06,3.128420361759999932e-06,3.272460000000000174e-06,4.401570630045905652e+00
5.511196999999999980e-06,3.128421939320000204e-06,3.272460999999999990e-06,4.401551635909481952e+00
5.511198999999999612e-06,3.128425094439999477e-06,3.272463000000000046e-06,4.401513647671511542e+00
5.511199999999999851e-06,3.128426672000000172e-06,3.272465000000000101e-06,4.401523866565415943e+00
5.511202000000000330e-06,3.128429827120000716e-06,3.272467999999999972e-06,4.401515091362215415e+00
5.511205000000000201e-06,3.128434559800000685e-06,3.272470999999999843e-06,4.401458109178023825e+00
5.511206999999999833e-06,3.128437714919999958e-06,3.272474999999999953e-06,4.401478546971328676e+00
5.511210999999999943e-06,3.128444025160000199e-06,3.272479000000000064e-06,4.401402570956141957e+00
5.511215000000000054e-06,3.128450335400000440e-06,3.272483999999999990e-06,4.401355808003936332e+00
5.511220000000000403e-06,3.128458223200000952e-06,3.272490999999999971e-06,4.401319264132400377e+00
5.511226000000000146e-06,3.128467688560000466e-06,3.272499000000000192e-06,4.401263726589365710e+00
5.511233000000000127e-06,3.128478731480000676e-06,3.272507999999999805e-06,4.401189195564965573e+00
5.511241000000000348e-06,3.128491351960000734e-06,3.272518999999999897e-06,4.401124883919671049e+00
5.511251000000000200e-06,3.128507127560000488e-06,3.272532000000000044e-06,4.401022585569814183e+00
5.511262999999999685e-06,3.128526058279999940e-06,3.272548000000000063e-06,4.400911513597359104e+00
5.511277999999999887e-06,3.128549721680000207e-06,3.272568000000000191e-06,4.400772675159079661e+00
5.511295999999999960e-06,3.128578117760000020e-06,3.272591000000000191e-06,4.400576859130889140e+00
5.511316999999999905e-06,3.128611246520000225e-06,3.272617999999999877e-06,4.400353279240035498e+00
5.511341999999999959e-06,3.128650685520000247e-06,3.272651999999999969e-06,4.400141367918120494e+00
5.511372000000000364e-06,3.128698012320000781e-06,3.272690999999999986e-06,4.399834499499012175e+00
5.511407999999999664e-06,3.128754804479999560e-06,3.272739000000000041e-06,4.399501320453616415e+00
5.511452000000000031e-06,3.128824217120000513e-06,3.272796999999999948e-06,4.399074641048602352e+00
5.511503999999999773e-06,3.128906250239999831e-06,3.272865999999999947e-06,4.398583680480658842e+00
5.511566999999999606e-06,3.129005636519999598e-06,3.272948000000000093e-06,4.397942267338207145e+00
5.511641999999999770e-06,3.129123953520000088e-06,3.273047000000000072e-06,4.397219058571415928e+00
5.511733000000000376e-06,3.129267511480000693e-06,3.273166000000000181e-06,4.396308910699899819e+00
5.511840999999999969e-06,3.129437887960000416e-06,3.273309000000000105e-06,4.395280495669663168e+00
5.511971999999999986e-06,3.129644548320000463e-06,3.273481000000000194e-06,4.393990729746093393e+00
5.512128000000000057e-06,3.129890647680000533e-06,3.273686999999999951e-06,4.392489334502639231e+00
